Mode	X(mm)	Y(mm)	Z(mm)	Pmod	tParam
0	0.047999	-0.042525	0	350.00	7.9969e-01
1	0.048070	-0.042477	0	0.00	1.1500e-03
0	0.056198	-0.052170	0	350.00	7.9932e-01
1	0.056257	-0.052110	0	0.00	1.1500e-03
0	0.048177	-0.042477	0	350.00	7.9956e-01
1	0.048249	-0.042435	0	0.00	1.1500e-03
0	0.056287	-0.052021	0	350.00	7.9935e-01
1	0.056352	-0.051967	0	0.00	1.1500e-03
0	0.048344	-0.042423	0	350.00	7.9993e-01
1	0.048427	-0.042394	0	0.00	1.1500e-03
0	0.056376	-0.051866	0	350.00	7.9909e-01
1	0.056448	-0.051825	0	0.00	1.1500e-03
0	0.048516	-0.042376	0	350.00	7.9976e-01
1	0.048600	-0.042346	0	0.00	1.1500e-03
0	0.056471	-0.051729	0	350.00	7.9921e-01
1	0.056525	-0.051658	0	0.00	1.1500e-03
0	0.048701	-0.042334	0	350.00	7.9945e-01
1	0.048772	-0.042293	0	0.00	1.1500e-03
0	0.056555	-0.051569	0	350.00	7.9924e-01
1	0.056608	-0.051509	0	0.00	1.1500e-03
0	0.048867	-0.042281	0	350.00	7.9902e-01
1	0.048951	-0.042251	0	0.00	1.1500e-03
0	0.056632	-0.051408	0	350.00	7.9948e-01
1	0.056698	-0.051360	0	0.00	1.1500e-03
0	0.049040	-0.042233	0	350.00	7.9961e-01
1	0.049123	-0.042203	0	0.00	1.1500e-03
0	0.056715	-0.051253	0	350.00	7.9952e-01
1	0.056769	-0.051188	0	0.00	1.1500e-03
0	0.049218	-0.042186	0	350.00	7.9929e-01
1	0.049296	-0.042156	0	0.00	1.1500e-03
0	0.056787	-0.051087	0	350.00	7.9977e-01
1	0.056852	-0.051033	0	0.00	1.1500e-03
0	0.049403	-0.042156	0	350.00	7.9923e-01
1	0.049462	-0.042102	0	0.00	1.1500e-03
0	0.056864	-0.050920	0	350.00	7.9949e-01
1	0.056924	-0.050861	0	0.00	1.1500e-03
0	0.049575	-0.042108	0	350.00	7.9917e-01
1	0.049635	-0.042055	0	0.00	1.1500e-03
0	0.056936	-0.050754	0	350.00	7.9975e-01
1	0.056989	-0.050682	0	0.00	1.1500e-03
0	0.049742	-0.042049	0	350.00	7.9943e-01
1	0.049819	-0.042019	0	0.00	1.1500e-03
0	0.057007	-0.050581	0	350.00	7.9993e-01
1	0.057055	-0.050510	0	0.00	1.1500e-03
0	0.049926	-0.042013	0	350.00	7.9932e-01
1	0.049986	-0.041959	0	0.00	1.1500e-03
0	0.057066	-0.050397	0	350.00	7.9960e-01
1	0.057114	-0.050325	0	0.00	1.1500e-03
0	0.050087	-0.041953	0	350.00	7.9926e-01
1	0.050170	-0.041924	0	0.00	1.1500e-03
0	0.057132	-0.050224	0	350.00	7.9949e-01
1	0.057168	-0.050135	0	0.00	1.1500e-03
0	0.050266	-0.041906	0	350.00	8.0001e-01
1	0.050343	-0.041876	0	0.00	1.1500e-03
0	0.057185	-0.050028	0	350.00	8.0020e-01
1	0.057227	-0.049950	0	0.00	1.1500e-03
0	0.050444	-0.041864	0	350.00	7.9957e-01
1	0.050516	-0.041823	0	0.00	1.1500e-03
0	0.057233	-0.049831	0	350.00	7.9946e-01
1	0.057281	-0.049760	0	0.00	1.1500e-03
0	0.050623	-0.041828	0	350.00	7.9965e-01
1	0.050682	-0.041775	0	0.00	1.1500e-03
0	0.057287	-0.049641	0	350.00	7.9929e-01
1	0.057316	-0.049546	0	0.00	1.1500e-03
0	0.050789	-0.041769	0	350.00	7.9944e-01
1	0.050867	-0.041739	0	0.00	1.1500e-03
0	0.057334	-0.049439	0	350.00	7.9963e-01
1	0.057358	-0.049343	0	0.00	1.1500e-03
0	0.050974	-0.041733	0	350.00	7.9947e-01
1	0.051033	-0.041680	0	0.00	1.1500e-03
0	0.057340	-0.049201	0	350.00	7.9962e-01
1	0.057417	-0.049159	0	0.00	1.1500e-03
0	0.051134	-0.041674	0	350.00	7.9940e-01
1	0.051218	-0.041644	0	0.00	1.1500e-03
0	0.057406	-0.049016	0	350.00	8.0041e-01
1	0.057423	-0.048909	0	0.00	1.1500e-03
0	0.051319	-0.041638	0	350.00	7.9948e-01
1	0.051384	-0.041585	0	0.00	1.1500e-03
0	0.057423	-0.048790	0	350.00	8.0014e-01
1	0.057453	-0.048689	0	0.00	1.1500e-03
0	0.051485	-0.041579	0	350.00	8.0024e-01
1	0.051569	-0.041549	0	0.00	1.1500e-03
0	0.057435	-0.048546	0	350.00	7.9923e-01
1	0.057471	-0.048463	0	0.00	1.1500e-03
0	0.051664	-0.041537	0	350.00	7.9985e-01
1	0.051735	-0.041495	0	0.00	1.1500e-03
0	0.057459	-0.048320	0	350.00	8.0065e-01
1	0.057477	-0.048207	0	0.00	1.1500e-03
0	0.051836	-0.041489	0	350.00	7.9924e-01
1	0.051914	-0.041460	0	0.00	1.1500e-03
0	0.057465	-0.048076	0	350.00	7.9970e-01
1	0.057477	-0.047957	0	0.00	1.1500e-03
0	0.052015	-0.041448	0	350.00	7.9975e-01
1	0.052086	-0.041406	0	0.00	1.1500e-03
0	0.057441	-0.047784	0	350.00	7.9887e-01
1	0.057495	-0.047725	0	0.00	1.1500e-03
0	0.052187	-0.041400	0	350.00	7.9968e-01
1	0.052259	-0.041358	0	0.00	1.1500e-03
0	0.057453	-0.047546	0	350.00	7.9992e-01
1	0.057453	-0.047421	0	0.00	1.1500e-03
0	0.052360	-0.041347	0	350.00	7.9874e-01
1	0.052437	-0.041317	0	0.00	1.1500e-03
0	0.057412	-0.047243	0	350.00	7.9970e-01
1	0.057447	-0.047160	0	0.00	1.1500e-03
0	0.052533	-0.041299	0	350.00	7.9882e-01
1	0.052616	-0.041269	0	0.00	1.1500e-03
0	0.057382	-0.046951	0	350.00	7.9961e-01
1	0.057406	-0.046850	0	0.00	1.1500e-03
0	0.052717	-0.041263	0	350.00	7.9931e-01
