Mode	X(m)	Y(m)	Z(m)	Power(W)	tParam
0	0.043542	-0.044131	0.000000	350	0.799
0	0.043500	-0.044203	0.000000	0	0.004
0	0.056495	-0.051706	0.000000	350	0.799
0	0.056460	-0.051777	0.000000	0	0.004
0	0.043477	-0.044280	0.000000	350	0.8
0	0.043405	-0.044333	0.000000	0	0.004
0	0.056406	-0.051842	0.000000	350	0.8
0	0.056376	-0.051920	0.000000	0	0.004
0	0.043381	-0.044417	0.000000	350	0.799
0	0.043340	-0.044488	0.000000	0	0.004
0	0.056323	-0.051979	0.000000	350	0.799
0	0.056293	-0.052057	0.000000	0	0.004
0	0.043310	-0.044566	0.000000	350	0.799
0	0.043262	-0.044625	0.000000	0	0.004
0	0.056239	-0.052122	0.000000	350	0.799
0	0.056192	-0.052187	0.000000	0	0.004
0	0.043245	-0.044714	0.000000	350	0.799
0	0.043179	-0.044774	0.000000	0	0.004
0	0.056150	-0.052259	0.000000	350	0.8
0	0.056103	-0.052324	0.000000	0	0.004
0	0.043173	-0.044863	0.000000	350	0.799
0	0.043114	-0.044922	0.000000	0	0.004
0	0.056049	-0.052390	0.000000	350	0.8
0	0.056013	-0.052461	0.000000	0	0.004
0	0.043102	-0.045006	0.000000	350	0.799
0	0.043054	-0.045077	0.000000	0	0.004
0	0.055948	-0.052521	0.000000	350	0.799
0	0.055912	-0.052592	0.000000	0	0.004
0	0.043030	-0.045155	0.000000	350	0.8
0	0.042983	-0.045226	0.000000	0	0.004
0	0.055841	-0.052646	0.000000	350	0.799
0	0.055817	-0.052729	0.000000	0	0.004
0	0.042965	-0.045309	0.000000	350	0.8
0	0.042941	-0.045387	0.000000	0	0.004
0	0.055752	-0.052782	0.000000	350	0.8
0	0.055698	-0.052848	0.000000	0	0.004
0	0.042917	-0.045470	0.000000	350	0.8
0	0.042876	-0.045541	0.000000	0	0.004
0	0.055633	-0.052907	0.000000	350	0.799
0	0.055597	-0.052979	0.000000	0	0.004
0	0.042858	-0.045625	0.000000	350	0.799
0	0.042828	-0.045702	0.000000	0	0.004
0	0.055525	-0.053032	0.000000	350	0.8
0	0.055478	-0.053104	0.000000	0	0.004
0	0.042810	-0.045785	0.000000	350	0.799
0	0.042775	-0.045863	0.000000	0	0.004
0	0.055406	-0.053157	0.000000	350	0.799
0	0.055365	-0.053223	0.000000	0	0.004
0	0.042763	-0.045946	0.000000	350	0.8
0	0.042733	-0.046029	0.000000	0	0.005
0	0.055281	-0.053270	0.000000	350	0.799
0	0.055252	-0.053348	0.000000	0	0.004
